月份,费用科目,金额(元),备注
2026-01,房租物业,419137,
2026-01,差旅费,106626,
2026-01,办公用品,33034,
2026-01,团建活动,20467,
2026-01,水电网络,35899,
2026-01,招聘渠道,43605,
2026-01,培训费用,29452,
2026-01,车辆使用,20251,
2026-01,快递邮寄,7894,
2026-01,软件订阅,42106,
2026-01,招待餐费,27724,
2026-02,房租物业,412965,
2026-02,差旅费,117862,
2026-02,办公用品,35923,
2026-02,团建活动,31354,
2026-02,水电网络,34447,
2026-02,招聘渠道,44382,
2026-02,培训费用,27934,
2026-02,车辆使用,15030,
2026-02,快递邮寄,6209,
2026-02,软件订阅,41860,
2026-02,招待餐费,30016,
2026-03,房租物业,432873,
2026-03,差旅费,68109,
2026-03,办公用品,33485,
2026-03,团建活动,51810,
2026-03,水电网络,35880,
2026-03,招聘渠道,31858,
2026-03,培训费用,23284,
2026-03,车辆使用,14678,
2026-03,快递邮寄,5668,
2026-03,软件订阅,49238,
2026-03,招待餐费,24963,
2026-04,房租物业,421116,
2026-04,差旅费,127955,
2026-04,办公用品,26887,
2026-04,团建活动,48011,
2026-04,水电网络,36826,
2026-04,招聘渠道,28931,
2026-04,培训费用,15448,
2026-04,车辆使用,16136,
2026-04,快递邮寄,6754,
2026-04,软件订阅,45777,
2026-04,招待餐费,17235,
2026-05,房租物业,416598,
2026-05,差旅费,247000,⚠ 宁波东海港项目驻场差旅激增
2026-05,办公用品,34888,
2026-05,团建活动,29882,
2026-05,水电网络,34765,
2026-05,招聘渠道,36750,
2026-05,培训费用,32673,
2026-05,车辆使用,17285,
2026-05,快递邮寄,10005,
2026-05,软件订阅,45014,
2026-05,招待餐费,22630,
2026-06,房租物业,420987,
2026-06,差旅费,58421,
2026-06,办公用品,26994,
2026-06,团建活动,23908,
2026-06,水电网络,32222,
2026-06,招聘渠道,41282,
2026-06,培训费用,13349,
2026-06,车辆使用,17761,
2026-06,快递邮寄,9080,
2026-06,软件订阅,45508,
2026-06,招待餐费,41800,资方+客户来访密集
